Time, PDC Flux
1.315124634799722116e+02,-2.794265610078582540e+00
1.315328980800913996e+02,-1.982760426215827465e+01
1.315533325801006868e+02,4.928351319833018351e+01
1.315737669799855212e+02,-1.089841322750726249e+01
1.315942014797619777e+02,-4.024057117629126878e+01
1.316146360795391956e+02,-2.059061689919326454e+01
1.316350704791984754e+02,-2.354230018846283201e+01
1.316555049788512406e+02,-3.285343375185038894e+01
1.316759395782792126e+02,-5.057479884030180983e+01
1.316963740776991472e+02,-3.256186406368215103e+01
1.317168084771255963e+02,-4.182244192090001889e+01
1.317372429763199762e+02,-9.651278255353827262e+01
1.317576775755078415e+02,-3.012507346286292886e+01
1.317781119747014600e+02,-4.158900193348381435e+01
1.317985464736630092e+02,-5.271706818063103128e+01
1.318189810726180440e+02,-8.335692845557059627e+01
1.318394154714624165e+02,-6.407889503951446386e+01
1.318598499703075504e+02,-4.214078065124340355e+01
1.318802844690289930e+02,-7.251914771777956048e+01
1.319007189676412963e+02,-3.631555873911565868e+01
1.319211534661371843e+02,-8.582688871525897412e+01
1.319415879646257963e+02,-6.120548139628226636e+01
1.319620224630052689e+02,-2.028727428211277584e+01
1.319824569612683263e+02,-6.200586112273595063e+01
1.320028914594076923e+02,-5.175577316815179074e+01
1.320233258575535729e+02,-5.071669784187542973e+01
1.320437604555845610e+02,-8.559957287356519373e+01
1.320641949536075117e+02,-2.503330428354820469e+01
1.320846293514041463e+02,-5.465070457054389408e+01
1.321050638492015423e+02,-4.881114888974843780e+01
1.321254984469924239e+02,-5.342088724226050545e+01
1.321459328445562278e+02,-3.569085689261555672e+01
1.321663673421207932e+02,6.597691923714592122e+00
1.321868019396788441e+02,-5.005133454435417661e+01
1.322072364370105788e+02,-2.341527988795860438e+01
1.322276708343415521e+02,1.410351214381807949e+01
1.322481053315568715e+02,-2.219027110908791656e+01
1.322685399286492611e+02,-1.076537964776798617e+01
1.322889743256309885e+02,-1.321031979241524823e+00
1.323094088226062013e+02,2.677167790342355147e+01
1.323298434195894515e+02,3.861431249909219332e+01
1.323502778163383482e+02,8.507653304288396612e+00
1.323707123130880063e+02,2.044779382250999333e+01
1.323911468097139732e+02,3.663395288595347665e+01
1.324115813062308007e+02,6.881222424461884657e+01
1.324320158026239369e+02,6.920135789852065500e+01
1.324524502990243491e+02,-1.171817740246478934e+01
1.324728848953091074e+02,4.033486825709405821e+01
1.324933192915923428e+02,1.090323701311572222e+02
1.325137537876362330e+02,5.226885921585926553e+01
1.325341881836866378e+02,5.336855443147942424e+01
1.325546227796148742e+02,4.437833052076166496e+01
