Time, PDC Flux
1.205390365177663625e+02,1.222067590141668916e+02
1.205594711171943345e+02,-1.880556702370522544e+02
1.205799056165633374e+02,-2.245003174804733135e+02
1.206003403159265872e+02,-2.847521956304553896e+02
1.206207749152963515e+02,-2.403425417754915543e+02
1.206412094146653544e+02,-2.476151059927069582e+02
1.206616440139696351e+02,-2.245386467583593912e+02
1.206820787132819532e+02,-1.924569139980594628e+02
1.207025132125927485e+02,-1.175261451866826974e+02
1.207229478118388215e+02,-1.585901028463849798e+02
1.207433825110929320e+02,-3.559612869026605040e+02
1.207638170103455195e+02,-4.011709350628661923e+02
1.207842516095915926e+02,-3.795315596190630458e+02
1.208046862087867339e+02,-4.204181564720347524e+02
1.208251208079236676e+02,-4.752682256216066889e+02
1.208455554071115330e+02,-5.130817670720862225e+02
1.208659900062484667e+02,-4.984525308193988167e+02
1.208864247053861618e+02,-4.458180207823170349e+02
1.209068592044568504e+02,-3.573344752081902698e+02
1.209272938035355764e+02,-1.505956558500183746e+02
1.209477285026077880e+02,-1.384453126296284609e+02
1.209681630016275449e+02,9.417906597210094333e+01
1.209885976007062709e+02,3.509024684335454367e+02
1.210090320996678201e+02,4.189436523620970547e+02
1.210294667986818240e+02,3.039588564663426951e+02
1.210499013976441347e+02,3.912918420352507383e+02
1.210703359966064454e+02,4.308488553051720373e+02
1.210907705955032725e+02,3.445986462784931064e+02
1.211112051944073755e+02,3.896662149525363930e+02
1.211316397933114786e+02,4.144890613275347278e+02
1.211520742921493365e+02,4.541296889867517166e+02
1.211725089909959934e+02,6.292755871849367395e+02
1.211929435898418888e+02,6.126767666648956947e+02
1.212133780886215391e+02,7.640519773515406996e+02
1.212338127874099882e+02,7.649324587319861166e+02
1.212542473861394683e+02,7.021932213188265450e+02
1.212746818849191186e+02,5.973967650306876749e+02
1.212951164835903910e+02,6.087930829954566434e+02
1.213155511823206325e+02,6.242884252848452888e+02
1.213359857809846289e+02,6.057265486774267629e+02
1.213564202796551399e+02,3.772949530932819471e+02
1.213768549782689661e+02,8.877487856661900878e+01
1.213972895768747549e+02,6.326008506363723427e+01
1.214177240754288505e+02,1.126880725083174184e+02
1.214381586739837076e+02,-1.414411656172014773e+02
1.214585933725320501e+02,-3.170026292351540178e+02
1.214790278710861458e+02,-4.161525587656069547e+02
1.214994624695827952e+02,-4.109847137868637219e+02
1.215198970680139610e+02,-4.479053411053027958e+02
1.215403317664531642e+02,-6.389144438134389929e+02
1.215607663648916059e+02,-5.901995157048804685e+02
1.215812008633220103e+02,-4.372605568567523733e+02
1.216016355617030058e+02,-3.409725763833848760e+02
1.216220701600250322e+02,-3.395855651691090316e+02
1.216425046583972289e+02,-2.792870232946006581e+02
1.216629392566610477e+02,-5.137644567030365579e+02
1.216833739549838356e+02,-4.932991153219481930e+02
1.217038084532396169e+02,-4.335784904194297269e+02
1.217242430515034357e+02,-4.250713407259318046e+02
1.217446777497098083e+02,-3.177464161620009691e+02
1.217651122479073820e+02,-2.304787082334514707e+02
1.217855468460547854e+02,-6.142447543476009741e+01
1.218059814442021889e+02,-3.280246493552112952e+01
1.218264160422841087e+02,1.205435732661280781e+02
1.218468506403733045e+02,1.369573891681502573e+02
1.218672852384625003e+02,3.160014827707200311e+02
1.218877198364862124e+02,3.151133540755836293e+02
1.219081544345172006e+02,2.356992530807619914e+02
1.219285890325481887e+02,3.040404297864879481e+02
1.219490235305129318e+02,6.467618867680430412e+02
1.219694582284282660e+02,6.520511163041810505e+02
1.219898928263428388e+02,5.912206261144019663e+02
1.220103273242566502e+02,3.301141661212313920e+02
1.220307620221065008e+02,3.533567288378253579e+02
1.220511966199628660e+02,3.729795717508532107e+02
1.220716312177537475e+02,2.989826923659420572e+02
1.220920657155511435e+02,2.801160930740879849e+02
1.221125004133500624e+02,1.730360166969476268e+02
1.221329350110827363e+02,1.878362204145523719e+02
1.221533695088219247e+02,1.764854541477398016e+02
1.221738042065044283e+02,3.587337109519867226e+02
1.221942388041206868e+02,3.942372477733297274e+02
1.222146733017434599e+02,3.265898145327810198e+02
1.222351078993669944e+02,1.941664067287929356e+02
1.222555425969840144e+02,1.024357744391309097e+02
1.222759770945485798e+02,-4.885207577672554180e+01
1.222964116920556989e+02,4.590995227335952222e-01
1.223168463895563036e+02,-1.327244495861232281e+02
1.223372808870044537e+02,-2.084339667761814781e+02
1.223577154844533652e+02,-2.357944583747303113e+02
1.223781500818950008e+02,-4.210559222729643807e+02
1.223985847792864661e+02,-5.782808604753226973e+02
1.224190192766182008e+02,-6.376567669655196369e+02
1.224394538740016287e+02,-7.098711477619362995e+02
1.224598885713348864e+02,-7.398927527851192281e+02
1.224803230685502058e+02,-6.870340762500418350e+02
1.225007576657590107e+02,-5.191388739426620305e+02
1.225211921629743301e+02,-2.713633920848369598e+02
1.225416268601911725e+02,-2.119888862278312445e+02
1.225620614573999774e+02,-2.922966008201474324e+02
1.225824960544996429e+02,-1.987240377103444189e+02
1.226029306515993085e+02,-9.845869690057588741e+01
1.226233652486916981e+02,-2.453755783906090073e+02
1.226437998457913636e+02,-3.002246821806766093e+02
1.226642343427738524e+02,-1.741310065991710871e+02
1.226846690397505881e+02,-1.626883066567825153e+02
1.227051036367338384e+02,5.466592265502549708e+01
1.227255381337163271e+02,1.300254312590695918e+02
1.227459728305766475e+02,4.195271438069175929e+01
1.227664074274434824e+02,1.553852767943171784e+02
1.227868419243095559e+02,2.839793684225296602e+02
1.228072765211691149e+02,4.396724862102419138e+02
1.228277112179202959e+02,5.530896302364999428e+02
1.228481458146707155e+02,5.720120534513844177e+02
1.228685804114138591e+02,7.090335043663508259e+02
1.228890150081642787e+02,6.129977329810499214e+02
1.229094496047982830e+02,5.744047392971697263e+02
1.229298842014250113e+02,5.407545233132550493e+02
1.229503186980582541e+02,4.041720863370574079e+02
1.229707533945766045e+02,3.857824244460207410e+02
1.229911879912033328e+02,2.720542915614787489e+02
1.230116224877201603e+02,4.642518760863458738e+01
1.230320571841220954e+02,5.383260889578377828e+01
1.230524917806324083e+02,1.448390591119532473e+02
1.230729263770335820e+02,2.339132870290777646e+02
1.230933608734339941e+02,1.237740437731845304e+02
1.231137955698286532e+02,1.197650759625248611e+02
1.231342301661134115e+02,1.129176369799533859e+02
1.231546646623974084e+02,-2.612023253110237420e+00
1.231750993586756522e+02,-1.341989078861661255e+02
1.231955339548439952e+02,-2.131555137686664239e+02
1.232159684511279920e+02,-3.859505909803556278e+02
1.232364030472963350e+02,-5.080528914895839989e+02
1.232568377433417481e+02,-5.398686652187025174e+02
1.232772722395093297e+02,-5.169291594080859795e+02
1.233181415316066705e+02,-3.821593173706205562e+02
1.233385760276578367e+02,-2.473289785378728993e+02
1.233590106235933490e+02,-1.932121128478902392e+02
1.233794452195215854e+02,-2.275899694584077224e+02
1.233998799154578592e+02,-3.716500491094193421e+02
1.234203144112689188e+02,-3.083610995803610422e+02
1.234407490072044311e+02,-3.746918730926699936e+02
1.234611837029078742e+02,-3.089548695663106628e+02
1.234816181987262098e+02,-3.184313370166346431e+02
1.235020527944216155e+02,-1.326212774291634560e+02
1.235224872901235358e+02,7.653781044250354171e+01
1.235429219858197030e+02,8.088967484369641170e+01
1.235633565815223847e+02,1.627468175290850922e+02
1.235837911771086510e+02,1.597342379143810831e+02
1.236042257726949174e+02,8.682068599894409999e+01
1.236246603682739078e+02,1.526311617828323506e+02
1.236450949637437589e+02,1.782281652664532885e+02
1.236655294592128485e+02,3.033929468533606268e+02
1.236859641546761850e+02,5.390317553313216195e+02
1.237063987500296207e+02,3.706133419129764661e+02
1.237268332453822950e+02,3.116689565203851089e+02
1.237472679407292162e+02,3.318235981736797839e+02
1.237677025359662366e+02,4.272022678530775011e+02
1.237881370313189109e+02,3.751799654804635793e+02
1.238085716265486553e+02,3.847254405322601087e+02
1.238290063216700219e+02,4.451824430858250707e+02
1.238494408169062808e+02,5.239884737332467921e+02
1.238698754120196099e+02,4.907685318824369460e+02
1.238903101070245611e+02,5.406476176107535139e+02
1.239107447021378903e+02,4.786882311837980524e+02
1.239311791971413186e+02,2.814528725242707878e+02
1.239516137920290930e+02,1.393165414695977233e+02
1.239720484870267683e+02,-9.472076190286315978e+01
1.239924829819137813e+02,-2.874715375429950655e+02
1.240129175768015557e+02,-4.312170355009147897e+02
1.240333522716828156e+02,-4.060197556992061436e+02
1.240537867664534133e+02,-3.565359483201755211e+02
1.240742213612247724e+02,-3.456093631815747358e+02
1.240946559558797162e+02,-4.493962503442307934e+02
1.241150905506437994e+02,-5.643653598079690710e+02
1.241355251452987432e+02,-4.947041915730806068e+02
1.241559597398299957e+02,-5.120064956396236084e+02
1.241763944343692856e+02,-6.636160217658616602e+02
1.241968289289070526e+02,-8.878140206765383482e+02
1.242172635234455811e+02,-1.036569241646910086e+03
