Time, PDC Flux
1.205383527671874617e+02,-7.002995978959370404e+01
1.205587872075047926e+02,-6.542944233830785379e+02
1.205792215478795697e+02,-1.694321539421798661e+02
1.205996560883068014e+02,2.991193391832057387e+02
1.206200905287987553e+02,2.532975653426256031e+02
1.206405248693481553e+02,-3.536474754890659824e+02
1.206609593099638005e+02,2.559092104969313368e+02
1.206813938506456907e+02,8.955301233261125162e+02
1.207018281913697137e+02,2.732152722220635042e+02
1.207222626321745338e+02,1.747146479607326910e+02
1.207426971730164951e+02,5.239657505688956007e+02
1.207631315139296930e+02,1.439843589192139916e+03
1.207835659548945841e+02,7.344731546844122931e+02
1.208040003959249589e+02,6.066044500942807645e+02
1.208244348370135413e+02,1.088299975421861745e+03
1.208448692781530553e+02,1.552434730667504482e+03
1.208653037193580531e+02,1.973696215830743313e+03
1.208857382606365718e+02,9.146469279216835275e+02
1.209061726019353955e+02,1.607099375910824165e+03
1.209266070433150162e+02,2.263241050827549770e+03
1.209470415847463300e+02,1.305884452698170207e+03
1.209674759262416046e+02,1.352467090414837003e+03
1.209879103677958483e+02,1.814113955085282214e+03
1.210083447094075382e+02,1.688700052612461150e+03
1.210287792510716827e+02,1.741787874180008657e+03
1.210492136928151012e+02,1.121564928603707813e+03
1.210696481345876236e+02,6.842187129461672157e+02
1.210900825764401816e+02,1.879249227206106298e+03
1.211105170183291193e+02,1.028406471384572797e+03
1.211309514602908166e+02,-1.479970545193646103e+02
1.211513858022881323e+02,5.179761523749912158e+02
1.211718203443670063e+02,7.217010834274115041e+02
1.211922547864887747e+02,3.242774727800861001e+01
1.212126891286752652e+02,-8.310938560994109139e+02
1.212331236709287623e+02,-4.033012352673104033e+02
1.212535581132251536e+02,-5.597568816625280306e+02
1.212739924555717153e+02,-1.244148295310675167e+03
1.212944268979845219e+02,-1.621350481878151186e+03
1.213148614404562977e+02,-1.180863441339344718e+03
1.213352958829782438e+02,-1.120374668061849661e+03
1.213557302255503600e+02,-1.359946662071044557e+03
1.213761647681967588e+02,-2.005891931752441451e+03
1.213965992108787759e+02,-1.977272968720062636e+03
1.214170335536255152e+02,-7.612772730001015589e+02
1.214374679964312236e+02,-1.748904850139981136e+03
1.214579025393031770e+02,-2.252093200114322826e+03
1.214783368822099874e+02,-1.318029814664740115e+03
1.214987713251757668e+02,-1.696964702049386688e+03
1.215192057681924780e+02,-1.129710359515622258e+03
1.215396403112754342e+02,-1.504079289782559499e+03
1.215600747544303886e+02,-1.847821487404406071e+03
1.215805090976064093e+02,-1.038999452405027114e+03
1.216009436408639885e+02,-1.165238192891585641e+03
1.216213780841499101e+02,-2.121975200757267885e+03
1.216418124275151058e+02,-1.005085476028616540e+03
1.216622468709174427e+02,-3.916940240659750998e+02
1.216826814144078526e+02,-1.366113344845245592e+03
1.217031157579185674e+02,-8.837184303860412911e+02
1.217235502014955273e+02,-6.320717886681668460e+02
1.217439847451314563e+02,-1.171734196660108864e+02
1.217644190887876903e+02,-7.271081547625362873e+01
1.217848535325392731e+02,-5.938714840030297637e+02
1.218052879763490637e+02,-6.217922611394897103e+00
1.218257224201806821e+02,2.114998686996987090e+02
1.218461568640777841e+02,6.702818899292033166e+02
1.218665913080330938e+02,4.587814107711892575e+01
1.218870257520393352e+02,3.269136221436783671e+02
1.219074601961110602e+02,1.220575833128765225e+03
1.219278946402118891e+02,7.277397740330779925e+02
1.219483289843628881e+02,4.022804474055301398e+02
1.219687635286099976e+02,9.390103455968201160e+02
1.219891979728854494e+02,1.684554476256831549e+03
1.220096323172183475e+02,1.009537839359603822e+03
1.220300668615745963e+02,1.405835427333717234e+03
1.220505013060246711e+02,1.347947247749660164e+03
1.220709357504965737e+02,2.265873298085178249e+03
1.220913700950331986e+02,2.367488580829463899e+03
1.221118046396295540e+02,1.159730588511913083e+03
1.221322390842760797e+02,2.353911828603479080e+03
1.221526734289873275e+02,2.374282301078317687e+03
1.221731079737292021e+02,2.291966998543008231e+03
1.221935424185503507e+02,1.754153428390738554e+03
1.222139767633780139e+02,2.279091590597876348e+03
1.222344112082937500e+02,2.307031480275210924e+03
1.222548457532611792e+02,1.254660597448935732e+03
1.222752800982634653e+02,1.444541449387092143e+03
1.222957145433247206e+02,1.282236528821405955e+03
1.223161490884376690e+02,1.570370835777721368e+03
1.223365834336145781e+02,7.216318774468963966e+02
1.223570178788213525e+02,4.974571466384222731e+02
1.223774523240790586e+02,2.297841457490576431e+02
1.223978868694030098e+02,7.487872415222227573e+00
1.224183212147836457e+02,3.025058337266091257e+02
1.224387556601868710e+02,-1.372599477405427024e+03
1.224591902056563413e+02,-8.202030609565554187e+02
1.224796245511824964e+02,-1.030929909913102165e+03
1.225000589967603446e+02,-1.411592531288275495e+03
1.225204933423738112e+02,-1.715003420431632549e+03
1.225409278880470083e+02,-1.686162584280944429e+03
1.225613623337994795e+02,-1.241382515899254940e+03
1.225817967795592267e+02,-2.206600717597408220e+03
1.226022312253771815e+02,-2.358442189376568422e+03
1.226226656712460681e+02,-2.157594431236502714e+03
1.226431001171804382e+02,-1.497432443177676760e+03
1.226635344631722546e+02,-2.236581222946522757e+03
1.226839690091874218e+02,-2.532665777301881462e+03
1.227044034552673111e+02,-1.748436099485144950e+03
1.227248378014046466e+02,-1.834329689521458931e+03
1.227452723475653329e+02,-1.693784054093528539e+03
1.227657067937907414e+02,-2.770424186518881470e+03
1.227861411400735960e+02,-1.706687586822663434e+03
1.228065755863790400e+02,-1.538136759417364374e+03
1.228270101327798329e+02,-2.388459204279119149e+03
1.228474445791798644e+02,-1.854717417026520707e+03
1.228678790256599314e+02,-1.656786399855278432e+03
1.228883134721763781e+02,-1.088291152764228173e+03
1.229087479187801364e+02,-1.378731675754766911e+03
1.229291823653766187e+02,-1.705982968824566342e+03
1.229496167120378232e+02,-1.258232529840664938e+03
1.229700512587587582e+02,1.614463479316327721e+01
1.229904857055298635e+02,-8.356014685188420117e+02
1.230109200523365871e+02,-1.363533339801942930e+03
1.230313545992030413e+02,4.159115146156400442e+02
1.230517890461196657e+02,-2.072043989378726110e+02
1.230722234930726700e+02,-2.775608257169369608e+01
1.230926578400831204e+02,-1.385560342108365148e+02
1.231130923871169216e+02,2.436457399193895981e+02
1.231335268342154450e+02,7.434117460441775620e+02
1.231539611813714146e+02,2.672419841382652521e+02
1.231743957285798388e+02,2.963239480520132929e+02
1.231948301757947775e+02,7.184076439361087978e+02
1.232152645230962662e+02,1.608805571763543412e+03
1.232356989704567241e+02,1.016017727477476001e+03
1.232561335178397712e+02,7.354191111038671806e+02
1.232765678652576753e+02,1.470384728665463626e+03
1.233174368602631148e+02,1.597508647549664602e+03
1.233378712078556418e+02,1.433979454844258726e+03
1.233583056554780342e+02,1.857701990076689981e+03
1.233787401031222544e+02,1.934613755229278468e+03
1.233991746508618235e+02,2.315339748352300376e+03
1.234196089985925937e+02,1.359504975292948075e+03
1.234400434464187128e+02,1.237984430204145610e+03
1.234604779942746973e+02,2.511340613112319261e+03
1.234809123421582626e+02,1.284948529786663130e+03
1.235013467900935211e+02,4.270581744577502832e+02
1.235217811380935018e+02,1.568857050945865922e+03
1.235422156861459371e+02,1.482157653558533639e+03
1.235626501342339907e+02,3.625849879889283329e+02
1.235830845823511481e+02,1.835765523393638432e+02
1.236035190305265132e+02,1.213198466096073389e+02
1.236239534787237062e+02,3.664398708000080660e+02
1.236443879270154866e+02,-1.823758750904817134e+02
1.236648222753065056e+02,-1.192252389221801423e+03
1.236852568236790830e+02,-6.201896771106403321e+02
1.237056912720581749e+02,-6.281252332404255867e+02
1.237261256205238169e+02,-1.179371557638049126e+03
1.237465601690128096e+02,-1.623178655741270632e+03
1.237669946175374207e+02,-1.436234022111282684e+03
1.237874289661194780e+02,-1.012162656774045900e+03
1.238078634147532284e+02,-1.962464563312940300e+03
1.238282979634241201e+02,-1.896514741702238098e+03
1.238487323121225927e+02,-1.494188186630024575e+03
1.238691667608727585e+02,-1.271797403408447281e+03
1.238896013096891693e+02,-1.668654892012360506e+03
1.239100357585266465e+02,-1.774448148942203261e+03
1.239304701074288459e+02,-1.881864674224052578e+03
1.239509045563609106e+02,-1.051841971322195604e+03
1.239713391053446685e+02,-1.345692540211719461e+03
1.239917734543632832e+02,-2.333603875758242793e+03
1.240122079034117633e+02,-1.119200983095797710e+03
1.240326424525410403e+02,-1.181546362199820578e+03
1.240530768016760703e+02,-1.671265008011017926e+03
1.240735112508700695e+02,-1.659356925588333979e+03
1.240939457001222763e+02,-1.164822113245609216e+03
1.241143801493963110e+02,-6.979105709823779762e+02
1.241348145987358293e+02,-9.988097987992223352e+02
1.241552490480971755e+02,-1.409457296695560217e+03
1.241756835975247668e+02,-6.477280662987614051e+02
1.241961179469508352e+02,1.916278972724685445e+02
1.242165523964649765e+02,-2.780769108635140583e+02
1.242369868460009457e+02,-6.372174890787573531e+02
1.242574212955732946e+02,-7.666883737372700125e+01
1.242778557451965753e+02,4.658190442514605820e+02
1.242982901948853396e+02,7.129336557966889814e+02
1.243187247446039692e+02,-2.950750043049920350e+02
1.243391590943501797e+02,1.006730568648781627e+03
1.243595935441189795e+02,1.147287869955762289e+03
1.243800279939823668e+02,6.828469011822016910e+02
1.244004624438384781e+02,8.637826623298460618e+02
1.244208968937600730e+02,1.064720153397531249e+03
1.244413313437107718e+02,1.934909374385839328e+03
1.244617658937131637e+02,1.337850323786260560e+03
1.244822002437504125e+02,1.341480506123509258e+03
1.245026346938466304e+02,1.827612416872754693e+03
1.245230690439711907e+02,2.717621059025404975e+03
1.245435035941482056e+02,2.050568928132881410e+03
1.245639380443317350e+02,1.687893528643995523e+03
1.245843723946018144e+02,2.685407360532437451e+03
1.246048069448661408e+02,2.190297919427161105e+03
1.246252413952242932e+02,2.305877709699096158e+03
1.246456758455751697e+02,1.424896729892352596e+03
1.246661101959907683e+02,2.241167481429176405e+03
1.246865447464660974e+02,2.156502460039220750e+03
