11509728   199.09     0.71    0.72    35.4    1.7    1.7  0.08   0.079  0.051  1.9   1.6   1.2   2454967.     52.     38.   0.0012  0.00018 0.00018  3.86   0.14   0.11  
11569628   684.4      4.8     4.4    183.9    4.0    4.2  0.037  0.034  0.024  6.0   2.0   1.5   2455200.    220.    160.   0.01426 0.00096 0.00100  5.856  0.094  0.084 
11661993   577.1      8.5     7.9     54.4    2.8    2.8  0.264  0.097  0.110  4.57  0.46  0.57  2455508.     41.     58.   0.00052 0.00008 0.00008  1.981  0.100  0.091 
11754974   343.2      0.5     0.5    131.1    1.2    1.2  0.019  0.017  0.012  0.74  0.84  1.80  2455113.     45.     95.   0.02055 0.00055 0.00056  8.329  0.049  0.046 
11771670   559.1      1.4     1.4    135.0    1.3    1.4  0.103  0.021  0.020  5.07  0.31  0.22  2455026.     27.     20.   0.00845 0.00025 0.00027  5.236  0.042  0.038 
11858293   505.78     0.63    0.64   156.4    1.1    1.1  0.029  0.013  0.013  2.32  0.18  0.36  2455281.     15.     29.   0.01605 0.00034 0.00035  6.738  0.032  0.030 
11874676  1612.      62.     42.     541.    20.    16.   0.775  0.020  0.019  3.879 0.025 0.025 2455567.     54.     56.   0.0654  0.0079  0.0075   4.62   0.24   0.23  
11905761   225.42     0.38    0.38   167.    15.    12.   0.729  0.047  0.047  3.091 0.043 0.042 2454978.5     1.6     1.8  0.099   0.026   0.020   11.07   0.94   0.99  
12020590   432.4      0.71    0.71   154.6    2.0    1.9  0.528  0.018  0.018  5.354 0.034 0.036 2455054.9     2.7     2.6  0.0212  0.00082 0.00080  6.6    0.1    0.1   
12055345  1333.      41.     41.     589.    28.    27.   0.121  0.037  0.033  0.569 0.110 0.066 2455094.     50.     47.   0.124   0.019   0.019    9.57   0.37   0.35  
12069252  1499.     110.     99.     187.    14.    11.   0.392  0.040  0.042  5.48  0.13  0.15  2455598.    110.    110.   0.0031  0.00080 0.00073  2.5    0.18   0.18  
12120077  1639.      38.     36.     349.6    6.5    6.1  0.105  0.025  0.024  4.195 0.089 0.083 2456382.     55.     50.   0.0171  0.0012  0.0012   4.625  0.092  0.088 
12122075   271.2      2.1     2.1     52.6    4.1    4.0  0.158  0.130  0.095  5.71  0.73  0.83  2454972.     32.     37.   0.00213 0.00050 0.00049  4.18   0.27   0.21  
12217281   726.      13.     12.     194.    14.    13.   0.24   0.15   0.11   3.58  0.37  0.77  2455293.     45.     81.   0.0148  0.0033  0.0029   5.65   0.40   0.32  
12365420   330.52     0.79    0.78   106.2    2.1    2.1  0.217  0.036  0.035  5.9   0.12  0.19  2455229.6     6.9     9.9  0.01179 0.00070 0.00071  6.84   0.12   0.11  
